longitude,latitude,temperature,pressure,elevation,u,v,lon2,lat2
-106.410,21.538,25.267,29.929,48.922,-0.149,0.847,-106.420,21.595
-103.846,21.538,20.654,30.124,1170.900,0.805,1.394,-103.793,21.631
-101.282,21.538,17.286,30.322,1822.091,0.557,2.853,-101.245,21.729
-98.718,21.538,20.282,30.218,744.877,3.600,1.236,-98.478,21.621
-96.154,21.538,,30.270,122.272,8.223,0.048,-95.606,21.542
-93.590,21.538,,30.198,76.253,9.988,0.542,-92.924,21.575
-91.026,21.538,,30.125,30.233,11.753,1.036,-90.242,21.608
-88.462,21.538,23.962,30.102,14.852,8.046,1.625,-87.925,21.647
-85.897,21.538,23.425,30.089,23.797,3.291,2.136,-85.678,21.681
-83.333,21.538,24.467,30.071,11.858,5.079,3.971,-82.995,21.803
-80.769,21.538,24.558,30.062,23.952,5.313,4.910,-80.415,21.866
-78.205,21.538,21.674,30.093,114.019,0.535,4.529,-78.169,21.840
-75.641,21.538,22.940,30.058,92.804,2.887,1.753,-75.449,21.655
-108.974,23.077,24.000,29.973,121.175,-1.876,2.461,-109.099,23.241
-106.410,23.077,24.066,29.905,16.378,-0.033,0.187,-106.412,23.089
-103.846,23.077,16.676,30.255,1714.554,-0.202,3.305,-103.860,23.297
-101.282,23.077,16.035,30.319,1821.488,0.402,2.385,-101.255,23.236
-98.718,23.077,21.891,30.123,303.992,0.794,-0.459,-98.665,23.046
-96.154,23.077,,30.232,110.622,10.531,-1.997,-95.452,22.944
-93.590,23.077,,30.159,64.603,12.296,-1.503,-92.770,22.977
-91.026,23.077,,30.114,23.071,10.016,1.120,-90.358,23.152
-88.462,23.077,24.274,30.119,24.781,6.398,-0.136,-88.035,23.068
-85.897,23.077,22.216,30.103,32.004,1.421,1.425,-85.803,23.172
-83.333,23.077,19.051,30.093,53.766,0.286,1.078,-83.314,23.149
-80.769,23.077,19.859,30.119,68.044,1.774,1.847,-80.651,23.200
-78.205,23.077,23.664,30.093,6.431,2.888,7.134,-78.013,23.553
-75.641,23.077,22.912,30.072,63.009,2.925,2.338,-75.446,23.233
-111.538,24.615,22.224,30.010,197.311,-1.312,4.006,-111.626,24.882
-108.974,24.615,23.959,29.954,47.007,-5.543,5.681,-109.344,24.994
-106.410,24.615,21.838,30.042,625.243,-0.697,1.507,-106.457,24.716
-103.846,24.615,15.997,30.281,1579.822,-0.582,4.495,-103.885,24.915
-101.282,24.615,17.434,30.305,1629.879,0.402,6.114,-101.255,25.023
-98.718,24.615,,30.098,168.922,2.102,-1.213,-98.578,24.534
-96.154,24.615,,30.113,45.725,9.257,-3.389,-95.537,24.389
-93.590,24.615,,30.121,52.953,14.604,-3.548,-92.616,24.379
-91.026,24.615,23.163,30.130,25.275,5.345,2.811,-90.669,24.803
-88.462,24.615,24.136,30.134,32.803,4.330,-1.351,-88.173,24.525
-85.897,24.615,21.007,30.117,40.212,-0.449,0.713,-85.927,24.663
-83.333,24.615,18.077,30.112,46.596,-0.478,1.310,-83.365,24.703
-80.769,24.615,20.803,30.116,12.717,-0.012,4.439,-80.770,24.911
-78.205,24.615,22.415,30.103,4.611,3.155,6.010,-77.995,25.016
-75.641,24.615,22.884,30.085,33.214,2.963,2.923,-75.443,24.810
-73.077,24.615,22.710,30.056,61.512,2.225,-1.258,-72.929,24.532
-111.538,26.154,22.708,29.962,8.387,-0.144,0.101,-111.548,26.161
-108.974,26.154,22.556,29.966,108.466,-7.226,8.527,-109.456,26.722
-106.410,26.154,23.395,30.042,614.251,-0.917,-0.543,-106.471,26.118
-103.846,26.154,19.338,30.217,1161.908,0.183,3.420,-103.834,26.382
-101.282,26.154,18.719,30.246,1166.607,1.605,6.013,-101.175,26.555
-98.718,26.154,22.585,30.098,111.328,5.224,-3.062,-98.370,25.950
-96.154,26.154,,30.110,34.025,9.963,-4.099,-95.490,25.881
-93.590,26.154,,30.130,48.445,9.934,-1.980,-92.928,26.022
-91.026,26.154,23.535,30.147,33.790,2.108,3.833,-90.885,26.409
-88.462,26.154,22.939,30.145,36.335,1.272,-1.278,-88.377,26.069
-85.897,26.154,19.798,30.131,48.419,-2.319,0.001,-86.052,26.154
-83.333,26.154,17.321,30.135,25.121,-0.214,2.419,-83.348,26.315
-80.769,26.154,18.126,30.130,5.299,0.062,0.074,-80.765,26.159
-78.205,26.154,21.653,30.113,3.112,0.012,5.042,-78.204,26.490
-75.641,26.154,22.811,30.096,4.850,2.891,3.421,-75.448,26.382
-73.077,26.154,22.682,30.070,31.717,2.263,-0.673,-72.926,26.109
-114.103,27.692,18.661,30.030,117.107,-2.268,3.144,-114.254,27.902
-111.538,27.692,23.402,29.946,10.397,0.000,0.000,-111.538,27.692
-108.974,27.692,21.000,29.999,344.459,-0.720,1.476,-109.022,27.791
-106.410,27.692,22.230,30.123,1002.603,-2.625,-2.518,-106.585,27.524
-103.846,27.692,19.072,30.173,999.890,1.040,3.765,-103.777,27.943
-101.282,27.692,20.193,30.132,602.545,5.398,2.050,-100.922,27.829
-98.718,27.692,20.271,30.114,164.786,1.627,-1.466,-98.609,27.595
-96.154,27.692,21.748,30.126,14.866,5.088,-3.513,-95.815,27.458
-91.026,27.692,23.018,,47.152,2.424,0.092,-90.864,27.698
-88.462,27.692,21.741,30.157,39.866,-1.785,-1.204,-88.581,27.612
-85.897,27.692,19.036,30.154,27.296,-2.080,1.089,-86.036,27.765
-83.333,27.692,16.428,30.133,8.388,-0.381,-0.067,-83.359,27.688
-80.769,27.692,11.883,30.153,8.829,0.000,0.000,-80.769,27.692
-78.205,27.692,20.567,30.092,2.433,-2.658,3.579,-78.382,27.931
-75.641,27.692,21.859,30.067,4.706,0.647,2.207,-75.598,27.839
-73.077,27.692,22.569,30.079,4.643,2.092,-0.253,-72.937,27.675
-70.513,27.692,22.480,30.054,30.220,1.563,-4.269,-70.409,27.408
-114.103,29.231,18.171,30.031,74.545,-2.889,0.000,-114.295,29.231
-111.538,29.231,21.898,29.992,120.801,-1.852,0.000,-111.662,29.231
-108.974,29.231,20.413,30.097,693.372,-2.808,-1.875,-109.162,29.106
-106.410,29.231,20.045,30.190,1300.559,-2.741,-4.003,-106.593,28.964
-103.846,29.231,19.254,30.137,883.310,1.740,2.547,-103.730,29.401
-101.282,29.231,22.978,30.077,418.237,6.979,-0.766,-100.817,29.180
-98.718,29.231,19.114,30.124,198.702,0.788,-0.939,-98.665,29.168
-96.154,29.231,17.954,30.130,28.097,2.548,-4.340,-95.984,28.941
-91.026,29.231,17.434,30.172,10.717,0.388,-1.337,-91.000,29.142
-88.462,29.231,19.913,30.178,31.436,-7.340,-1.558,-88.951,29.127
-85.897,29.231,16.425,30.139,15.391,-1.170,-0.206,-85.975,29.217
-83.333,29.231,11.838,30.149,13.102,0.000,0.000,-83.333,29.231
-80.769,29.231,11.639,30.124,3.024,-0.412,-0.345,-80.797,29.208
-78.205,29.231,19.081,30.072,2.576,-3.610,1.975,-78.446,29.362
-75.641,29.231,20.907,30.037,4.562,-1.597,0.992,-75.748,29.297
