station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,altim_in_hg,elevation_m
CYPR,2021-12-03T02:36:00Z,54.28,-130.45,4,-1,220,8,30.200787,30
PAKX,2021-12-03T02:35:00Z,60.2,-154.32,-19,-23,0,0,30.28937,88
KY70,2021-12-03T02:35:00Z,42.93,-85.07,3.5,-2,320,3,29.991142,247
KY63,2021-12-03T02:35:00Z,45.98,-96,0.6,0,0,0,29.991142,367
KY51,2021-12-03T02:35:00Z,43.58,-90.9,3.8,-1,0,0,29.97933,390
KY49,2021-12-03T02:35:00Z,47.15,-94.65,-1.1,-5,0,0,29.970472,413
KY31,2021-12-03T02:35:00Z,44.25,-84.18,0.6,-3.8,300,10,29.940945,264
KY23,2021-12-03T02:35:00Z,45.3,-91.63,1.3,-2.6,0,0,29.970472,322
KY19,2021-12-03T02:35:00Z,46.77,-100.9,3,2,180,6,29.840551,591
KXSA,2021-12-03T02:35:00Z,37.87,-76.9,16.5,5.7,210,6,29.760826,41
KX60,2021-12-03T02:35:00Z,29.35,-82.47,11.1,10.8,0,0,30.159449,21
KX07,2021-12-03T02:35:00Z,27.9,-81.62,11,11,0,0,30.159449,36
KW96,2021-12-03T02:35:00Z,37.5,-77.12,15.6,5.3,220,5,29.790354,35
KW81,2021-12-03T02:35:00Z,37.18,-78.1,15.3,1.5,220,5,29.819881,121
KW75,2021-12-03T02:35:00Z,37.6,-76.45,16.3,5.7,230,8,29.769686,8
KW63,2021-12-03T02:35:00Z,36.6,-78.55,15,5,220,6,29.861221,126
KW31,2021-12-03T02:35:00Z,36.95,-78.18,14.7,5,220,7,29.840551,159
KW13,2021-12-03T02:35:00Z,38.08,-78.95,13.2,2.8,0,0,29.799213,440
KVVV,2021-12-03T02:35:00Z,45.3,-96.42,2,1,60,4,29.958662,334
KVTI,2021-12-03T02:35:00Z,42.22,-92.02,6.5,0,0,0,29.97933,256
KVNW,2021-12-03T02:35:00Z,40.87,-84.62,3,-1,350,4,30.02067,238
KVNC,2021-12-03T02:35:00Z,27.07,-82.43,16,14,10,4,30.15059,4
KVLL,2021-12-03T02:35:00Z,42.55,-83.18,3.8,-2.3,300,7,29.970472,214
KVKS,2021-12-03T02:35:00Z,32.23,-90.93,13,13,0,0,30.109253,31
KVGC,2021-12-03T02:35:00Z,42.85,-75.57,3,0,290,7,29.601377,346
KVDF,2021-12-03T02:35:00Z,28.02,-82.33,13,12,0,0,30.171259,5
KVBW,2021-12-03T02:35:00Z,38.37,-78.97,17.2,3.2,300,9,29.769686,362
KUOX,2021-12-03T02:35:00Z,34.38,-89.53,10,7,0,0,30.109253,123
KUNU,2021-12-03T02:35:00Z,43.42,-88.7,2.4,-3.8,0,0,30.008858,281
KULM,2021-12-03T02:35:00Z,44.32,-94.5,4,1,0,0,29.970472,305
KUKT,2021-12-03T02:35:00Z,40.43,-75.38,13,5,230,12,29.639763,156
KUBE,2021-12-03T02:35:00Z,45.5,-91.98,1,-2,0,0,29.970472,376
KTWM,2021-12-03T02:35:00Z,47.05,-91.75,-2,-5,0,0,29.97933,331
KTVY,2021-12-03T02:35:00Z,40.62,-112.35,1,0,90,4,30.209646,1310
KTTF,2021-12-03T02:35:00Z,41.93,-83.42,6.2,-0.8,320,11,29.958662,186
KTSP,2021-12-03T02:35:00Z,35.13,-118.43,7,-10,120,5,30.171259,1209
KTPF,2021-12-03T02:35:00Z,27.92,-82.45,17,14,330,3,30.171259,1
KTOB,2021-12-03T02:35:00Z,44.02,-92.82,4,1,0,0,29.97933,394
KTNU,2021-12-03T02:35:00Z,41.67,-93.02,6,-2,100,7,29.97933,287
KTME,2021-12-03T02:35:00Z,29.8,-95.9,18,18,170,5,30.129921,49
KTKX,2021-12-03T02:35:00Z,36.22,-90.03,12,9,220,5,30.02067,73
KTKV,2021-12-03T02:35:00Z,45.47,-89.82,-1.8,-4.4,0,0,29.97933,449
KTKC,2021-12-03T02:35:00Z,44.25,-95.62,4.8,0,140,3,29.958662,408
KTEW,2021-12-03T02:35:00Z,42.57,-84.42,4.2,-0.8,320,5,29.970472,281
KT69,2021-12-03T02:35:00Z,28.03,-97.55,20,19,0,0,30.109253,15
KSYN,2021-12-03T02:35:00Z,44.47,-93.02,3.7,0.4,0,0,29.970472,280
KSYM,2021-12-03T02:35:00Z,38.22,-83.58,14,4,280,5,30.008858,307
KSXU,2021-12-03T02:35:00Z,34.93,-104.65,9.3,-10.4,220,5,30.079725,1465
KSXK,2021-12-03T02:35:00Z,42.98,-96.17,5,-2,100,9,29.911417,430
KSVH,2021-12-03T02:35:00Z,35.75,-80.95,15.4,6,230,7,29.929134,286
KSUZ,2021-12-03T02:35:00Z,34.58,-92.48,11,9,0,0,30.079725,114
KSUW,2021-12-03T02:35:00Z,46.68,-92.1,-1.5,-4.2,0,0,30.008858,205
KSUT,2021-12-03T02:35:00Z,33.93,-78.08,14.4,11.5,240,8,30,6
KSTF,2021-12-03T02:35:00Z,33.43,-88.85,10,10,0,0,30.109253,99
KSRR,2021-12-03T02:35:00Z,33.47,-105.52,10,0,230,13,30.259842,2063
KSPF,2021-12-03T02:35:00Z,44.47,-103.78,9,2,300,4,30.02067,1191
KSPA,2021-12-03T02:35:00Z,34.92,-81.95,13,6,0,0,29.97933,242
KSOW,2021-12-03T02:35:00Z,34.27,-110,7,-3,0,0,30.268702,1954
KSNK,2021-12-03T02:35:00Z,32.7,-100.95,20.1,3,160,7,30.050198,738
KSNC,2021-12-03T02:35:00Z,41.38,-72.5,11,8,,,29.500984,114
KSLB,2021-12-03T02:35:00Z,42.6,-95.23,5,-2,140,7,29.940945,450
KSJX,2021-12-03T02:35:00Z,45.7,-85.57,-0.5,-2.1,330,5,30,202
KSIK,2021-12-03T02:35:00Z,36.9,-89.57,15,10,210,6,30.02067,95
KSIF,2021-12-03T02:35:00Z,36.43,-79.85,15.1,4.7,240,6,29.899607,206
KSHL,2021-12-03T02:35:00Z,43.22,-95.83,6,-2,100,7,29.929134,430
KSGS,2021-12-03T02:35:00Z,44.87,-93.03,4.7,-0.9,0,0,29.991142,250
KSFQ,2021-12-03T02:35:00Z,36.68,-76.6,16.5,6.7,230,10,29.84941,19
KSDC,2021-12-03T02:35:00Z,43.23,-77.12,4,0,280,13,29.698818,127
KSDA,2021-12-03T02:35:00Z,40.75,-95.42,10,5,60,4,29.911417,293
KSAZ,2021-12-03T02:35:00Z,46.37,-94.8,2,-1,0,0,29.97933,391
KS32,2021-12-03T02:35:00Z,47.42,-98.1,-1,0,130,7,29.958662,435
KS25,2021-12-03T02:35:00Z,47.8,-103.25,-2,-2,0,0,29.861221,632
KRZT,2021-12-03T02:35:00Z,39.43,-83.02,9,4,340,9,29.991142,217
KRYV,2021-12-03T02:35:00Z,43.17,-88.72,0.6,-4,0,0,29.991142,249
KRVL,2021-12-03T02:35:00Z,40.68,-77.63,9,1,240,7,29.760826,250
KRUQ,2021-12-03T02:35:00Z,35.65,-80.52,15.2,6,220,5,29.940945,231
KRUG,2021-12-03T02:35:00Z,48.38,-100.02,0,0,140,9,29.890747,469
KRRL,2021-12-03T02:35:00Z,45.2,-89.72,-2.3,-4.6,0,0,29.970472,397
KRPH,2021-12-03T02:35:00Z,33.12,-98.55,18.3,9.9,130,4,30.008858,341
KRPD,2021-12-03T02:35:00Z,45.42,-91.77,1.5,-2.5,0,0,29.991142,334
KROX,2021-12-03T02:35:00Z,48.85,-95.7,-3,-5,0,0,29.970472,320
KROS,2021-12-03T02:35:00Z,45.7,-92.95,1.2,-3.5,0,0,29.991142,282
KRNP,2021-12-03T02:35:00Z,43,-84.13,2.3,-1,310,4,29.97933,224
KRNH,2021-12-03T02:35:00Z,45.15,-92.53,1.4,-2.5,0,0,29.991142,302
KRMY,2021-12-03T02:35:00Z,42.25,-84.95,3.2,-0.6,0,0,29.970472,285
KRMN,2021-12-03T02:35:00Z,38.4,-77.45,16.9,4,250,7,29.790354,50
KRID,2021-12-03T02:35:00Z,39.75,-84.85,6,5,330,6,30.02067,346
KRHP,2021-12-03T02:35:00Z,35.18,-83.85,4.4,2,0,0,30.100393,515
KRGK,2021-12-03T02:35:00Z,44.58,-92.48,3,-1,0,0,29.97933,238
KRDK,2021-12-03T02:35:00Z,41.02,-95.27,10,3,0,0,29.920275,317
KRCZ,2021-12-03T02:35:00Z,34.88,-79.77,15.2,6.3,200,7,29.958662,110
KRCX,2021-12-03T02:35:00Z,45.5,-91,-0.8,-2.6,0,0,30,373
KRCM,2021-12-03T02:35:00Z,38.78,-93.8,11,3,140,4,29.970472,242
KRCE,2021-12-03T02:35:00Z,35.48,-97.82,13,3,180,8,30,412
KRBW,2021-12-03T02:35:00Z,32.92,-80.63,11,9,240,4,30.059055,30
KRAW,2021-12-03T02:35:00Z,38.35,-93.35,9.5,4.6,120,4,29.991142,285
KPZQ,2021-12-03T02:35:00Z,45.4,-83.82,0.1,-4.6,300,11,29.940945,199
KPVB,2021-12-03T02:35:00Z,42.68,-90.43,5.5,0.6,0,0,29.991142,311
KPTS,2021-12-03T02:35:00Z,37.45,-94.73,14.2,6.2,190,5,29.970472,286
KPTB,2021-12-03T02:35:00Z,37.17,-77.52,14.6,4.3,210,5,29.819881,56
KPSK,2021-12-03T02:35:00Z,37.13,-80.67,15.2,4.1,290,17,29.929134,629
KPRO,2021-12-03T02:35:00Z,41.83,-94.17,3.4,-3.7,110,5,29.97933,308
KPQN,2021-12-03T02:35:00Z,43.98,-96.28,5,1,90,4,29.940945,529
KPOV,2021-12-03T02:35:00Z,41.22,-81.25,4.7,-2,290,6,29.899607,363
KPMH,2021-12-03T02:35:00Z,38.83,-82.85,12.6,3.8,340,4,30,200
KPLR,2021-12-03T02:35:00Z,33.57,-86.25,8,8,0,0,30.121063,145
KPLD,2021-12-03T02:35:00Z,40.45,-84.98,6,-1,310,3,30.008858,282
KPJC,2021-12-03T02:35:00Z,40.8,-80.17,6,0,270,3,29.890747,273
KPEX,2021-12-03T02:35:00Z,45.37,-94.73,2,0,0,0,29.970472,359
KPDC,2021-12-03T02:35:00Z,43.02,-91.12,5.5,0,0,0,29.991142,201
KPCZ,2021-12-03T02:35:00Z,44.33,-89.02,2.5,-3.8,0,0,30.02067,248
KPBH,2021-12-03T02:35:00Z,45.7,-90.4,-3,-4.4,0,0,29.958662,445
KPAN,2021-12-03T02:35:00Z,34.25,-111.33,13,-3,60,3,30.209646,1575
KOZW,2021-12-03T02:35:00Z,42.62,-83.98,2.5,-0.3,320,6,29.958662,288
KOZS,2021-12-03T02:35:00Z,37.97,-92.68,16,0,0,0,30.008858,321
KOXV,2021-12-03T02:35:00Z,41.28,-93.12,8,-2,130,5,29.97933,280
KOXD,2021-12-03T02:35:00Z,39.5,-84.78,7.5,3,310,7,30.02067,317
KOVL,2021-12-03T02:35:00Z,44.78,-95.03,3,2,0,0,29.958662,329
KORS,2021-12-03T02:35:00Z,48.7,-122.92,5,-1,0,0,30.360237,7
KONZ,2021-12-03T02:35:00Z,42.1,-83.15,6.2,-2.4,340,10,29.958662,179
KONA,2021-12-03T02:35:00Z,44.07,-91.7,4,0,0,0,30,200
KOMH,2021-12-03T02:35:00Z,38.25,-78.05,11,5,240,3,29.769686,136
KOLZ,2021-12-03T02:35:00Z,42.67,-91.97,5,0,40,4,29.991142,328
KOKV,2021-12-03T02:35:00Z,39.13,-78.15,13,4,300,10,29.749016,213
KOIN,2021-12-03T02:35:00Z,39.83,-100.53,8.2,-2.7,240,4,29.958662,810
KOIC,2021-12-03T02:35:00Z,42.57,-75.52,3.8,0,330,7,29.639763,311
KOEO,2021-12-03T02:35:00Z,45.32,-92.7,3.5,-0.1,0,0,30.008858,269
KOCQ,2021-12-03T02:35:00Z,44.87,-87.92,2,-2,0,0,30.008858,181
KO22,2021-12-03T02:35:00Z,38.03,-120.42,9,5,0,0,30.079725,637
KN38,2021-12-03T02:35:00Z,41.73,-77.4,4,-1,0,6,29.698818,576
KMYJ,2021-12-03T02:35:00Z,39.15,-91.82,10,5,80,4,30,249
KMXO,2021-12-03T02:35:00Z,42.22,-91.17,5,1,0,0,29.97933,251
KMWM,2021-12-03T02:35:00Z,43.9,-95.1,3,1,70,5,29.958662,427
KMWK,2021-12-03T02:35:00Z,36.47,-80.55,15.8,2.5,250,3,29.940945,374
KMVE,2021-12-03T02:35:00Z,44.97,-95.72,4,1,0,0,29.958662,319
KMUT,2021-12-03T02:35:00Z,41.37,-91.15,3,0,0,0,30.02067,166
KMRT,2021-12-03T02:35:00Z,40.22,-83.35,5.5,-0.5,340,3,30,302
KMRN,2021-12-03T02:35:00Z,35.82,-81.62,18.1,3.6,190,6,29.991142,375
KMQJ,2021-12-03T02:35:00Z,39.85,-85.9,7,2,300,7,30.029528,262
KMPZ,2021-12-03T02:35:00Z,40.95,-91.52,5,-2,90,4,30.008858,222
KMOX,2021-12-03T02:35:00Z,45.57,-95.97,2,0,0,0,29.991142,346
KMOP,2021-12-03T02:35:00Z,43.62,-84.73,1.9,-2.7,300,3,29.97933,229
KMNI,2021-12-03T02:35:00Z,33.58,-80.22,10,7,0,0,30.029528,29
KMKS,2021-12-03T02:35:00Z,33.18,-80.03,10,9,0,0,30.050198,22
KMJQ,2021-12-03T02:35:00Z,43.63,-94.98,4,0,80,6,29.970472,439
KMHL,2021-12-03T02:35:00Z,39.1,-93.2,11,3,120,4,29.97933,236
KMGN,2021-12-03T02:35:00Z,45.43,-84.92,0,-4.5,330,4,29.970472,205
KMGG,2021-12-03T02:35:00Z,45.23,-93.98,3,-0.5,0,0,29.970472,310
KMFV,2021-12-03T02:35:00Z,37.63,-75.77,16,13.5,230,9,29.760826,13
KMDZ,2021-12-03T02:35:00Z,45.1,-90.3,-1.3,-3.4,0,0,29.970472,446
KMCJ,2021-12-03T02:35:00Z,29.72,-95.4,20,18,180,9,30.109253,70
KMBY,2021-12-03T02:35:00Z,39.47,-92.43,11,3,90,7,30,263
KMAW,2021-12-03T02:35:00Z,36.6,-90,13,8,170,4,30.041338,88
KMAO,2021-12-03T02:35:00Z,34.18,-79.33,14,7,210,4,30,27
KMAN,2021-12-03T02:35:00Z,43.58,-116.52,5,5,330,4,30.200787,773
KM40,2021-12-03T02:35:00Z,33.87,-88.48,9,9,0,0,30.121063,68
KM25,2021-12-03T02:35:00Z,36.77,-88.58,15,6,,,30.059055,157
KLYV,2021-12-03T02:35:00Z,43.62,-96.22,5,-1,110,6,29.929134,435
KLWA,2021-12-03T02:35:00Z,42.35,-86.25,5.5,-0.2,0,0,30,199
KLUM,2021-12-03T02:35:00Z,44.9,-91.87,3.7,-1.8,0,0,29.97933,271
KLRY,2021-12-03T02:35:00Z,38.62,-94.35,12,3,140,4,29.97933,272
KLRO,2021-12-03T02:35:00Z,32.9,-79.78,15,13,0,0,30.050198,3
KLRJ,2021-12-03T02:35:00Z,42.77,-96.2,8,-3,110,11,29.890747,363
KLQK,2021-12-03T02:35:00Z,34.82,-82.7,14.1,4.5,270,4,30,291
KLNP,2021-12-03T02:35:00Z,36.98,-82.52,12,2,270,9,30.050198,817
KLNL,2021-12-03T02:35:00Z,46.15,-89.22,-1.5,-3.7,40,3,29.970472,517
KLKU,2021-12-03T02:35:00Z,38.02,-77.97,14.7,5.5,230,6,29.811024,146
KLKR,2021-12-03T02:35:00Z,34.72,-80.85,13,7,230,4,29.97933,166
KLDJ,2021-12-03T02:35:00Z,40.62,-74.25,13.6,5.3,270,9,29.58071,6
KLBO,2021-12-03T02:35:00Z,37.65,-92.65,14,1,200,4,30.02067,399
KL52,2021-12-03T02:35:00Z,35.1,-120.62,12,11,0,0,30.088583,3
KL18,2021-12-03T02:35:00Z,33.35,-117.25,10,9,0,0,30.100393,215
KL08,2021-12-03T02:35:00Z,33.27,-116.32,16,-10,0,0,30,156
KKY8,2021-12-03T02:35:00Z,37.95,-86.87,9,8,0,0,30.050198,124
KJZI,2021-12-03T02:35:00Z,32.7,-80,15,12,230,6,30.059055,5
KJYO,2021-12-03T02:35:00Z,39.07,-77.57,16,6,320,15,29.769686,112
KJYM,2021-12-03T02:35:00Z,41.92,-84.58,2.7,-1.3,290,5,29.958662,357
KJXI,2021-12-03T02:35:00Z,32.7,-94.95,16.3,12.2,0,0,30.088583,130
KJVW,2021-12-03T02:35:00Z,32.3,-90.42,11,11,110,3,30.121063,73
KJSO,2021-12-03T02:35:00Z,31.87,-95.22,17.1,15.5,170,4,30.121063,204
KJNX,2021-12-03T02:35:00Z,35.53,-78.38,15,6,220,3,29.929134,41
KJMR,2021-12-03T02:35:00Z,45.88,-93.27,0,-3,0,0,30,301
KJKJ,2021-12-03T02:35:00Z,46.83,-96.67,-1,-1,0,0,30,280
KJGG,2021-12-03T02:35:00Z,37.23,-76.72,17,7,250,9,29.811024,13
KJFZ,2021-12-03T02:35:00Z,37.07,-81.8,11.7,4,250,12,30.02067,809
KJAQ,2021-12-03T02:35:00Z,38.37,-120.8,13.7,9,360,5,30.079725,518
KIXA,2021-12-03T02:35:00Z,36.33,-77.63,13,9,230,7,29.870079,43
KIUA,2021-12-03T02:35:00Z,42.92,-77.33,3.1,-0.7,280,17,29.698818,248
KISQ,2021-12-03T02:35:00Z,45.97,-86.17,-0.6,-6,330,8,29.97933,206
KIPJ,2021-12-03T02:35:00Z,35.48,-81.17,13.2,6.5,240,6,29.949802,266
KINF,2021-12-03T02:35:00Z,28.8,-82.32,11,11,0,0,30.159449,14
KIMS,2021-12-03T02:35:00Z,38.75,-85.47,11,5,290,3,30.050198,244
KIKW,2021-12-03T02:35:00Z,43.67,-84.27,1.5,-3.2,0,0,29.970472,190
KIKV,2021-12-03T02:35:00Z,41.68,-93.57,7,-2,0,0,30,270
KIIB,2021-12-03T02:35:00Z,42.45,-91.95,6.5,1.8,0,0,29.97933,294
KIFA,2021-12-03T02:35:00Z,42.47,-93.27,5.3,-0.5,140,5,29.970472,344
KIDI,2021-12-03T02:35:00Z,40.63,-79.1,7,-1,310,7,29.878937,425
KICL,2021-12-03T02:35:00Z,40.72,-95.02,11,3,0,0,29.949802,299
KI69,2021-12-03T02:35:00Z,39.08,-84.22,11.5,4.1,290,7,30.02067,238
KI67,2021-12-03T02:35:00Z,39.25,-84.78,10,2,320,3,30.02067,177
KI43,2021-12-03T02:35:00Z,38.98,-82.58,12,4,320,3,29.991142,221
KI23,2021-12-03T02:35:00Z,39.57,-83.42,4,2,320,7,30,298
KHZX,2021-12-03T02:35:00Z,46.62,-93.32,0,-3,0,0,29.991142,374
KHZL,2021-12-03T02:35:00Z,40.98,-76,6,3,270,4,29.71063,481
KHZE,2021-12-03T02:35:00Z,47.28,-101.58,-2,-3,0,0,29.861221,542
KHYX,2021-12-03T02:35:00Z,43.43,-83.87,1.7,-2.5,300,6,29.97933,181
KHYW,2021-12-03T02:35:00Z,33.83,-79.12,15,9,220,4,30.008858,10
KHXD,2021-12-03T02:35:00Z,32.22,-80.7,14,12,230,4,,5
KHVS,2021-12-03T02:35:00Z,34.4,-80.12,14,6,240,4,29.991142,110
KHOB,2021-12-03T02:35:00Z,32.67,-103.22,12,2,240,5,30.109253,1112
KHNR,2021-12-03T02:35:00Z,41.58,-95.33,8,1,70,3,29.949802,364
KHFY,2021-12-03T02:35:00Z,39.63,-86.08,9.6,2.2,320,4,30.029528,250
KHEG,2021-12-03T02:35:00Z,30.28,-81.8,10,9,0,0,30.15059,25
KHCO,2021-12-03T02:35:00Z,48.75,-96.93,-3,-4,0,0,29.97933,250
KHCD,2021-12-03T02:35:00Z,44.87,-94.38,3.6,2.8,0,0,29.97933,320
KHBI,2021-12-03T02:35:00Z,35.65,-79.9,14.9,2.8,210,6,29.958662,199
KHAI,2021-12-03T02:35:00Z,41.97,-85.6,0.6,-1.6,0,0,30.008858,250
KHAF,2021-12-03T02:35:00Z,37.52,-122.5,12,12,190,5,30.100393,11
KHAE,2021-12-03T02:35:00Z,39.73,-91.45,11,0,80,5,30.008858,230
KGYL,2021-12-03T02:35:00Z,44.77,-94.08,3.3,2.1,0,0,29.958662,304
KGWW,2021-12-03T02:35:00Z,35.47,-77.97,14.2,6.1,220,9,29.929134,40
KGWR,2021-12-03T02:35:00Z,46.22,-97.65,1,1,90,9,29.940945,381
KGPH,2021-12-03T02:35:00Z,39.33,-94.32,7,2,0,0,29.949802,233
KGLY,2021-12-03T02:35:00Z,38.35,-93.68,10,4,0,0,29.970472,247
KGHW,2021-12-03T02:35:00Z,45.63,-95.32,1,-1,0,0,29.97933,423
KGGI,2021-12-03T02:35:00Z,41.72,-92.73,6.2,-1.3,0,0,30,305
KGGE,2021-12-03T02:35:00Z,33.32,-79.32,12,9,220,5,30.041338,9
KGEV,2021-12-03T02:35:00Z,36.43,-81.42,12.6,-2,270,25,29.958662,961
KGDB,2021-12-03T02:35:00Z,44.75,-95.55,5.4,2.7,120,3,29.958662,316
KGAF,2021-12-03T02:35:00Z,48.4,-97.37,-3,-3,0,0,30,250
KFYG,2021-12-03T02:35:00Z,38.58,-91,10,4,0,0,30,147
KFXY,2021-12-03T02:35:00Z,43.23,-93.62,5,0,0,0,29.970472,366
KFWB,2021-12-03T02:35:00Z,36.7,-93.4,17,3,230,6,30.029528,392
KFVX,2021-12-03T02:35:00Z,37.35,-78.43,15.5,5,220,5,29.799213,129
